Waistcm	wtKg	HTCm	gen	Waist	Height	Weight
61.7	46.5	152.4	0	24.29	60	102.53
64	54.3	157.5	0	25.2	62.01	119.73
58.6	54.8	168.3	0	23.07	66.26	120.83
68.3	60.7	180.3	0	26.89	70.98	133.84
69.5	60	165.5	0	27.36	65.16	132.3
70.5	62	165	0	27.76	64.96	136.71
69.8	60.3	164.5	0	27.48	64.76	132.96
69	52.7	156	0	27.17	61.42	116.2
81	74.3	160	0	31.89	62.99	163.83
71	62	163	0	27.95	64.17	136.71
73.6	73.1	165.7	0	28.98	65.24	161.19
96.3	80	161	0	37.91	63.39	176.4
65	54.7	162	0	25.59	63.78	120.61
62.8	53.2	166	0	24.72	65.35	117.31
83	75.7	174	0	32.68	68.5	166.92
67.6	61.1	172.7	0	26.61	67.99	134.73
65.4	55.7	167.6	0	25.75	65.98	122.82
61.6	48.7	151.1	0	24.25	59.49	107.38
63.2	52.3	164.5	0	24.88	64.76	115.32
59.4	50	163.5	0	23.39	64.37	110.25
62.7	59.3	152	0	24.69	59.84	130.76
66.6	62.5	169	0	26.22	66.54	137.81
64.6	55.7	164	0	25.43	64.57	122.82
65.7	54.8	161.2	0	25.87	63.46	120.83
63	45.9	155	0	24.8	61.02	101.21
78.5	70.6	170	0	30.91	66.93	155.67
68.2	67.2	176.2	0	26.85	69.37	148.18
68.5	69.4	170	0	26.97	66.93	153.03
68.8	58.2	162.5	0	27.09	63.98	128.33
69	64.8	170.3	0	27.17	67.05	142.88
78	71.6	164.1	0	30.71	64.61	157.88
62	52.8	169.5	0	24.41	66.73	116.42
65.8	59.8	163.2	0	25.91	64.25	131.86
65	49	154.5	0	25.59	60.83	108.05
64.9	50	159.8	0	25.55	62.91	110.25
71.5	69.2	173.2	0	28.15	68.19	152.59
61.4	55.9	170	0	24.17	66.93	123.26
75.4	63.4	161.4	0	29.69	63.54	139.8
67.2	58.2	169	0	26.46	66.54	128.33
69.5	58.6	166.2	0	27.36	65.43	129.21
57.9	45.7	159.4	0	22.8	62.76	100.77
64.4	52.2	162.5	0	25.35	63.98	115.1
62.3	48.6	159	0	24.53	62.6	107.16
68.7	57.8	162.8	0	27.05	64.09	127.45
68	55.6	159	0	26.77	62.6	122.6
66	66.8	179.8	0	25.98	70.79	147.29
71.2	59.4	162.9	0	28.03	64.13	130.98
64.8	53.6	161	0	25.51	63.39	118.19
78	73.2	151.1	0	30.71	59.49	161.41
60.7	53.4	168.2	0	23.9	66.22	117.75
75	69	168.9	0	29.53	66.5	152.15
68.6	58.4	173.2	0	27.01	68.19	128.77
67.1	56.2	171.8	0	26.42	67.64	123.92
68	70.6	178	0	26.77	70.08	155.67
71	59.8	164.3	0	27.95	64.69	131.86
76	72	163	0	29.92	64.17	158.76
70.3	65.2	168.5	0	27.68	66.34	143.77
69.5	56.6	166.8	0	27.36	65.67	124.8
101.5	105.2	172.7	0	39.96	67.99	231.97
67.2	51.8	163.5	0	26.46	64.37	114.22
68.7	63.4	169.4	0	27.05	66.69	139.8
66	59	167.8	0	25.98	66.06	130.1
67.5	47.6	159.5	0	26.57	62.8	104.96
65.2	63	167.6	0	25.67	65.98	138.92
64.2	55.2	161.2	0	25.28	63.46	121.72
61	45	160	0	24.02	62.99	99.23
60.2	54	163.2	0	23.7	64.25	119.07
62.6	50.2	162.2	0	24.65	63.86	110.69
72.7	60.2	161.3	0	28.62	63.5	132.74
58.5	44.8	149.5	0	23.03	58.86	98.78
67.5	58.8	157.5	0	26.57	62.01	129.65
66.1	56.4	163.2	0	26.02	64.25	124.36
68	62	172.7	0	26.77	67.99	136.71
64	49.2	155	0	25.2	61.02	108.49
90.1	67.2	156.5	0	35.47	61.61	148.18
64.1	53.8	164	0	25.24	64.57	118.63
72.4	54.4	160.9	0	28.5	63.35	119.95
71	58	162.8	0	27.95	64.09	127.89
69.1	59.8	167	0	27.2	65.75	131.86
66.1	54.8	160	0	26.02	62.99	120.83
59.5	43.2	160	0	23.43	62.99	95.26
71.5	60.5	168.9	0	28.15	66.5	133.4
65	46.4	158.2	0	25.59	62.28	102.31
71.5	64.4	156	0	28.15	61.42	142
63	48.8	160	0	24.8	62.99	107.6
70	62.2	167.1	0	27.56	65.79	137.15
70.4	55.5	158	0	27.72	62.2	122.38
64.3	57.8	167.6	0	25.31	65.98	127.45
66	54.6	156	0	25.98	61.42	120.39
70.5	59.2	162.1	0	27.76	63.82	130.54
62	52.7	173.4	0	24.41	68.27	116.2
67.6	53.2	159.8	0	26.61	62.91	117.31
65	64.5	170.5	0	25.59	67.13	142.22
64	51.8	159.2	0	25.2	62.68	114.22
70.5	56	157.5	0	27.76	62.01	123.48
79.2	63.6	161.3	0	31.18	63.5	140.24
71.1	63.2	162.6	0	27.99	64.02	139.36
74.7	59.5	160	0	29.41	62.99	131.2
62.9	56.8	168.9	0	24.76	66.5	125.24
70.6	64.1	165.1	0	27.8	65	141.34
61.6	50	162.6	0	24.25	64.02	110.25
74.2	72.3	165.1	0	29.21	65	159.42
65.5	55	166.4	0	25.79	65.51	121.28
67.7	55.9	160	0	26.65	62.99	123.26
72.9	60.4	152.4	0	28.7	60	133.18
72.1	69.1	170.2	0	28.39	67.01	152.37
93.4	84.5	162.6	0	36.77	64.02	186.32
60.7	55.9	170.2	0	23.9	67.01	123.26
69.2	55.5	158.8	0	27.24	62.52	122.38
75.5	69.5	172.7	0	29.72	67.99	153.25
85.6	76.4	167.6	0	33.7	65.98	168.46
71.6	61.4	162.6	0	28.19	64.02	135.39
75.5	65.9	167.6	0	29.72	65.98	145.31
73.7	58.6	156.2	0	29.02	61.5	129.21
67.9	66.8	175.2	0	26.73	68.98	147.29
71.2	56.6	172.1	0	28.03	67.76	124.8
69.3	58.6	162.6	0	27.28	64.02	129.21
75.6	55.9	160	0	29.76	62.99	123.26
63.8	59.1	165.1	0	25.12	65	130.32
83.6	81.8	182.9	0	32.91	72.01	180.37
84.9	70.7	166.4	0	33.43	65.51	155.89
66	56.8	165.1	0	25.98	65	125.24
68.3	60	177.8	0	26.89	70	132.3
63.8	58.2	165.1	0	25.12	65	128.33
73.6	72.7	175.3	0	28.98	69.02	160.3
76.3	54.1	154.9	0	30.04	60.98	119.29
58.8	49.1	158.8	0	23.15	62.52	108.27
78	75.9	172.7	0	30.71	67.99	167.36
64.5	55	168.9	0	25.39	66.5	121.28
65.8	57.3	161.3	0	25.91	63.5	126.35
62.5	55	167.6	0	24.61	65.98	121.28
77.5	65.5	165.1	0	30.51	65	144.43
70	65.5	175.3	0	27.56	69.02	144.43
59.4	48.6	157.5	0	23.39	62.01	107.16
68.3	58.6	163.8	0	26.89	64.49	129.21
77.9	63.6	167.6	0	30.67	65.98	140.24
68.3	55.2	165.1	0	26.89	65	121.72
72	62.7	165.1	0	28.35	65	138.25
62.7	56.6	168.9	0	24.69	66.5	124.8
58	53.9	162.6	0	22.83	64.02	118.85
72.7	63.2	164.5	0	28.62	64.76	139.36
85.4	73.6	176.5	0	33.62	69.49	162.29
67.3	62	168.9	0	26.5	66.5	136.71
70.8	63.6	175.3	0	27.87	69.02	140.24
67.4	53.2	159.4	0	26.54	62.76	117.31
66	53.4	160	0	25.98	62.99	117.75
63.6	55	170.2	0	25.04	67.01	121.28
71.7	70.5	162.6	0	28.23	64.02	155.45
73.6	54.5	167.6	0	28.98	65.98	120.17
66.9	54.5	162.6	0	26.34	64.02	120.17
65.5	55.9	160.7	0	25.79	63.27	123.26
70.4	59	160	0	27.72	62.99	130.1
80.3	63.6	157.5	0	31.61	62.01	140.24
65	54.5	162.6	0	25.59	64.02	120.17
60.4	47.3	152.4	0	23.78	60	104.3
75.3	67.7	170.2	0	29.65	67.01	149.28
83.4	80.9	165.1	0	32.83	65	178.38
72.2	70.5	172.7	0	28.43	67.99	155.45
70.1	60.9	165.1	0	27.6	65	134.28
69.8	63.6	170.2	0	27.48	67.01	140.24
66.4	54.5	170.2	0	26.14	67.01	120.17
61.7	59.1	170.2	0	24.29	67.01	130.32
76.4	70.5	161.3	0	30.08	63.5	155.45
63.8	52.7	167.6	0	25.12	65.98	116.2
70.2	62.7	167.6	0	27.64	65.98	138.25
88.2	86.3	165.1	0	34.72	65	190.29
75.8	66.4	162.6	0	29.84	64.02	146.41
81.5	67.3	152.4	0	32.09	60	148.4
67.4	63	168.9	0	26.54	66.5	138.92
78.3	73.6	170.2	0	30.83	67.01	162.29
65.9	62.3	175.2	0	25.94	68.98	137.37
62.4	57.7	175.2	0	24.57	68.98	127.23
65.6	55.4	160	0	25.83	62.99	122.16
96.2	104.1	165.1	0	37.87	65	229.54
62.5	55.5	174	0	24.61	68.5	122.38
80.5	77.3	170.2	0	31.69	67.01	170.45
86.1	80.5	160	0	33.9	62.99	177.5
71.3	64.5	167.6	0	28.07	65.98	142.22
79.4	72.3	167.6	0	31.26	65.98	159.42
72.3	61.4	167.6	0	28.46	65.98	135.39
67.4	58.2	154.9	0	26.54	60.98	128.33
94.2	81.8	162.6	0	37.09	64.02	180.37
67	63.6	175.3	0	26.38	69.02	140.24
69.5	53.4	171.4	0	27.36	67.48	117.75
66.4	54.5	157.5	0	26.14	62.01	120.17
67.6	53.6	165.1	0	26.61	65	118.19
66.6	60	160	0	26.22	62.99	132.3
69.7	73.6	174	0	27.44	68.5	162.29
72	61.4	162.6	0	28.35	64.02	135.39
64.5	55.5	174	0	25.39	68.5	122.38
72.3	63.6	162.6	0	28.46	64.02	140.24
69.1	60.9	161.3	0	27.2	63.5	134.28
74.7	60	156.2	0	29.41	61.5	132.3
60.8	46.8	149.9	0	23.94	59.02	103.19
66.9	57.3	169.5	0	26.34	66.73	126.35
68.8	64.1	160	0	27.09	62.99	141.34
63.7	63.6	175.3	0	25.08	69.02	140.24
71.2	67.3	169.5	0	28.03	66.73	148.4
79.6	75.5	160	0	31.34	62.99	166.48
77.9	68.2	172.7	0	30.67	67.99	150.38
69.6	61.4	162.6	0	27.4	64.02	135.39
86	76.8	157.5	0	33.86	62.01	169.34
69.9	71.8	176.5	0	27.52	69.49	158.32
63.5	55.5	164.4	0	25	64.72	122.38
57.9	48.6	160.7	0	22.8	63.27	107.16
72.2	66.4	174	0	28.43	68.5	146.41
80.4	67.3	163.8	0	31.65	64.49	148.4
